FIPS,POP_SQMI,AVE_HH_SZ
13277,155,2.6
13279,74.7,2.59
13281,68.9,2.17
13283,34,2.53
13285,159,2.62
13287,31.8,2.56
13289,23.2,2.46
13291,70.6,2.3
13293,81.8,2.49
13295,154.6,2.54
13297,282.8,2.81
13299,39.5,2.48
13301,19.5,2.48
13303,30.7,2.56
13305,46.3,2.63
13307,13.8,2.5
13309,28.1,2.54
13311,119.4,2.52
13313,361.6,2.89
13315,23.9,2.5
13317,21.6,2.4
13319,20.8,2.58
13321,36.7,2.62
15001,50.9,2.7
15003,1681,2.95
15005,7.3,1.26
15007,115.4,2.84
15009,144.8,2.82
16001,441.1,2.58
16003,2.9,2.26
16005,75.8,2.64
16007,5.7,2.61
16009,12.3,2.4
16011,22.2,3.02
16013,8.3,2.39
16015,3.8,2.35
16017,23.7,2.37
16019,61.7,2.81
16021,10,2.47
16023,1.3,2.54
16025,1,2.29
16027,364.4,2.92
16029,4,2.64
16031,9.5,2.96
16033,0.5,2.84
16035,3.5,2.23
16037,0.8,2.25
16039,8.7,2.6
16041,21,3.11
16043,6.9,2.88
16045,31.7,2.55
16047,21.6,2.79
16049,1.9,2.3
16051,26,3.2
16053,39,2.95
16055,125,2.53
16057,37.2,2.32
16059,1.8,2.2
16061,8.2,2.26
16063,4.4,3.03
16065,90.8,3.44
16067,28,2.79
16069,47.9,2.36
16071,3.7,2.74
16073,1.6,2.79
16075,59.1,2.73
16077,5.5,2.94
16079,4.8,2.25
16081,24.7,2.78
16083,44.9,2.65
16085,2.8,2.23
16087,7.1,2.5
17001,77.2,2.37
17003,30,2.31
17005,44.8,2.44
17007,192.7,2.91
17009,22,2.3
17011,39.5,2.42
17013,17.2,2.4
17015,32.1,2.29
17017,35.2,2.55
17019,215.9,2.29
17021,47,2.36
17023,31.6,2.38
17025,28.4,2.37
17027,76.5,2.55
17029,103,2.3
17031,5506.1,2.6
17033,43.3,2.36
17035,31.7,2.5
17037,166.5,2.56
17039,40.6,2.39
17041,47.6,2.57
17043,2777.8,2.68
17045,28.4,2.33
17047,29,2.35
17049,73.1,2.5
17051,29.8,2.45
17053,28.4,2.41
17055,92.2,2.35
17057,41,2.37
17059,17.1,2.32
17061,24.5,2.44
17063,120,2.69
17065,18.7,2.39
17067,22.7,2.35
17069,23,2.25
17071,17.8,2.31
17073,60.2,2.44
17075,25.8,2.45
17077,99.6,2.2
17079,19.3,2.45
17081,65.7,2.38
17083,59.4,2.51
17085,36.6,2.31
17087,37.4,2.41
17089,1037.4,2.98
17091,162.6,2.61
17093,387.7,3.01
17095,71.4,2.27
17097,1504.2,2.82
17099,97.6,2.45
17101,44,2.34
17103,48.5,2.41
17105,35.6,2.43
17107,48.4,2.34
17109,54.3,2.19
17111,511.3,2.81
17113,146.8,2.44
17115,182.1,2.33
17117,54,2.42
17119,363.5,2.46
17121,66.9,2.4
17123,30.8,2.4
17125,23.7,2.38
